,Date,Open,High,Low,Close,Adj Close,Volume
0,2021-01-04,134.3000030517578,134.97999572753906,130.4600067138672,132.42999267578125,127.32914733886719,3433100
1,2021-01-05,131.9499969482422,132.24000549316406,130.4600067138672,131.85000610351562,126.77149963378906,2544200
2,2021-01-06,130.72000122070312,131.97999572753906,129.61000061035156,131.52999877929688,126.46382904052734,4486000
3,2021-01-07,133.80999755859375,135.4499969482422,133.16000366210938,133.19000244140625,128.05987548828125,4928100
4,2021-01-08,133.25999450683594,135.1999969482422,132.22999572753906,135.05999755859375,129.8578338623047,2951200
5,2021-01-11,134.0,135.5399932861328,132.75,132.92999267578125,127.80989837646484,3074800
6,2021-01-12,132.8800048828125,133.47000122070312,127.66999816894531,128.69000244140625,123.73321533203125,5374600
7,2021-01-13,129.13999938964844,129.89999389648438,128.4499969482422,128.5,123.55052185058594,2917300
8,2021-01-14,129.02999877929688,130.4199981689453,123.9000015258789,124.69000244140625,119.88728332519531,6359700
9,2021-01-15,124.75,127.9000015258789,124.75,127.27999877929688,122.37751007080078,4741000
10,2021-01-19,128.69000244140625,130.42999267578125,127.12000274658203,129.85000610351562,124.84852600097656,4033800
11,2021-01-20,130.1199951171875,132.4199981689453,129.5,132.3000030517578,127.20418548583984,4230400
12,2021-01-21,132.7100067138672,132.7100067138672,129.85000610351562,130.39999389648438,125.3773422241211,2687200
13,2021-01-22,130.44000244140625,131.32000732421875,129.1199951171875,130.36000061035156,125.3388900756836,2501600
14,2021-01-25,130.75,132.39999389648438,129.6699981689453,131.10000610351562,126.05040740966797,2892600
15,2021-01-26,130.02000427246094,132.7100067138672,130.0,131.41000366210938,126.34844207763672,3219000
16,2021-01-27,129.69000244140625,130.0,122.44999694824219,123.2699966430664,118.52197265625,7023100
17,2021-01-28,125.79000091552734,129.60000610351562,124.5,127.7699966430664,122.84864807128906,5000200
18,2021-01-29,126.55999755859375,129.22999572753906,125.37000274658203,126.08000183105469,121.22373962402344,4597400
19,2021-02-01,126.29000091552734,129.35000610351562,125.20999908447266,128.4199981689453,123.4736099243164,4070200
20,2021-02-02,128.6300048828125,132.41000366210938,128.07000732421875,131.88999938964844,126.80995178222656,3456000
21,2021-02-03,131.85000610351562,132.64999389648438,128.75,129.3699951171875,124.38702392578125,3918400
22,2021-02-04,130.30999755859375,130.85000610351562,129.3699951171875,130.60000610351562,125.56963348388672,7396000
23,2021-02-05,129.02000427246094,129.58999633789062,124.55000305175781,125.27999877929688,120.45454406738281,10319100
24,2021-02-08,126.19999694824219,126.26000213623047,122.54000091552734,126.0999984741211,121.24295806884766,5742600
25,2021-02-09,125.91999816894531,125.98999786376953,124.05000305175781,124.44999694824219,119.65650939941406,3342900
26,2021-02-10,125.11000061035156,125.66000366210938,124.31999969482422,124.48999786376953,119.69498443603516,2880000
27,2021-02-11,125.43000030517578,125.44999694824219,123.45999908447266,124.4000015258789,119.60843658447266,3085300
28,2021-02-12,123.80999755859375,124.05000305175781,122.68000030517578,123.68000030517578,118.91616821289062,2713000
29,2021-02-16,122.9800033569336,123.37999725341797,121.37999725341797,122.0,117.30088806152344,4247500
30,2021-02-17,121.88999938964844,122.94999694824219,120.83000183105469,121.30000305175781,116.62786102294922,6105200
31,2021-02-18,120.8499984741211,123.23999786376953,119.5999984741211,123.04000091552734,118.30083465576172,6125900
32,2021-02-19,123.0999984741211,123.72000122070312,119.4000015258789,120.0999984741211,115.47407531738281,4961100
33,2021-02-22,119.1500015258789,119.8499984741211,117.4000015258789,117.91000366210938,113.36841583251953,5138500
34,2021-02-23,117.87999725341797,119.6500015258789,115.88999938964844,119.22000122070312,114.62796783447266,6390200
35,2021-02-24,117.72000122070312,119.51000213623047,116.7699966430664,119.37999725341797,114.78180694580078,4425000
36,2021-02-25,124.48999786376953,125.33999633789062,119.73999786376953,120.88999938964844,116.23365020751953,11337300
37,2021-02-26,119.75,121.66000366210938,118.87999725341797,119.97000122070312,115.34908294677734,5118000
38,2021-03-01,120.30999755859375,123.93000030517578,120.2699966430664,123.56999969482422,118.81041717529297,5812900
39,2021-03-02,123.9000015258789,124.55999755859375,122.41999816894531,122.44999694824219,117.73355865478516,4797700
40,2021-03-03,121.44000244140625,121.94000244140625,118.62000274658203,118.83999633789062,114.2625961303711,5390200
41,2021-03-04,119.19000244140625,121.5199966430664,117.41000366210938,118.61000061035156,114.04145050048828,4884200
42,2021-03-05,120.0199966430664,125.3499984741211,118.54000091552734,124.68000030517578,119.877685546875,7944300
43,2021-03-08,124.08999633789062,128.4600067138672,123.8499984741211,127.05999755859375,122.1659927368164,7416000
44,2021-03-09,129.02000427246094,129.83999633789062,125.45999908447266,126.30999755859375,121.44487762451172,6409500
45,2021-03-10,128.42999267578125,129.1199951171875,126.05999755859375,127.41000366210938,122.50250244140625,4027800
46,2021-03-11,127.86000061035156,130.1999969482422,123.87999725341797,125.98999786376953,121.13720703125,8824500
47,2021-03-12,126.56999969482422,127.66999816894531,124.68000030517578,127.12000274658203,122.22367858886719,6122500
48,2021-03-15,128.32000732421875,128.57000732421875,124.08000183105469,125.62999725341797,120.79107666015625,5599600
49,2021-03-16,125.80000305175781,128.80999755859375,124.83999633789062,127.77999877929688,122.8582534790039,4433200
50,2021-03-17,126.33000183105469,128.02000427246094,125.5199966430664,127.30000305175781,122.39674377441406,3471800
